基金代码,基金简称,2022-01-14-单位净值,2022-01-14-累计净值,2022-01-13-单位净值,2022-01-13-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
009083,华夏鼎佳债券C,,,1.4596,1.4596,,,限大额,开放赎回,0.00%
005113,平安沪深300指数量化A,,,1.4594,1.4594,,,限大额,开放赎回,0.12%
519768,交银优选回报灵活配置混合A,,,1.4590,1.5190,,,限大额,开放赎回,0.08%
001727,申万菱信安鑫回报混合C,,,1.4590,1.5150,,,限大额,开放赎回,0.00%
001178,前海开源再融资股票,,,1.4590,2.0390,,,开放申购,开放赎回,0.15%
004608,长信乐信灵活配置混合A,,,1.4588,1.4768,,,限大额,开放赎回,0.08%
007235,广发聚利债券(LOF)C,,,1.4588,1.5540,,,限大额,开放赎回,0.00%
162717,广发再融资主题(LOF)A,,,1.4587,1.4587,,,开放申购,开放赎回,0.15%
013711,广发再融资主题(LOF)C,,,1.4586,1.4586,,,开放申购,开放赎回,0.00%
004881,中银量化价值混合A,,,1.4585,1.4585,,,开放申购,开放赎回,0.15%
004719,景顺长城睿成混合C,,,1.4581,1.4581,,,限大额,开放赎回,0.00%
005120,上投摩根量化多因子混合,,,1.4578,1.4578,,,开放申购,开放赎回,0.15%
006724,工银深证红利ETF联接C,,,1.4569,1.9065,,,开放申购,开放赎回,0.00%
004791,富荣中证500指数C,,,1.4563,1.4563,,,开放申购,开放赎回,0.00%
008177,建信高股息主题股票,,,1.4563,1.9338,,,开放申购,开放赎回,0.15%
008778,嘉实中证500指数增强A,,,1.4562,1.4562,,,开放申购,开放赎回,0.10%
671010,西部利得策略优选混合A,,,1.4560,1.4560,,,开放申购,开放赎回,0.15%
002792,景顺长城顺益回报混合A,,,1.4560,1.4560,,,开放申购,开放赎回,0.12%
007127,博道远航混合C,,,1.4554,1.6854,,,开放申购,开放赎回,0.00%
050123,博时天颐债券C,,,1.4550,1.6980,,,开放申购,开放赎回,0.00%
007032,平安可转债债券A,,,1.4550,1.4550,,,开放申购,开放赎回,0.06%
008515,国富基本面优选混合,,,1.4550,1.4550,,,开放申购,开放赎回,0.15%
007410,浦银安盛中证高股息ETF联接A,,,1.4548,1.4548,,,开放申购,开放赎回,0.12%
006836,永赢惠泽一年,,,1.4547,1.4547,,,暂停申购,暂停赎回,0.15%
675081,西部利得祥盈债券A,,,1.4542,1.4542,,,开放申购,开放赎回,0.06%
007524,汇添富内需增长股票C,,,1.4540,1.4540,,,开放申购,开放赎回,0.00%
003432,信诚至瑞灵活配置A,,,1.4537,1.5137,,,限大额,开放赎回,0.08%
004175,博时鑫泰混合A,,,1.4536,1.7629,,,限大额,开放赎回,0.08%
008909,创金合信鑫益混合A,,,1.4532,1.4532,,,开放申购,开放赎回,0.12%
167508,安信价值发现两年定开混合(LOF),,,1.4529,1.4529,,,暂停申购,暂停赎回,0.15%
001488,万家瑞丰灵活配置混合A,,,1.4526,1.4526,,,限大额,开放赎回,0.06%
010311,中银量化价值混合C,,,1.4520,1.4520,,,开放申购,开放赎回,0.00%
009511,信达澳银研究优选混合,,,1.4517,1.4517,,,开放申购,开放赎回,0.15%
519163,新华增怡债券C,,,1.4515,1.6845,,,暂停申购,开放赎回,0.00%
004845,南华瑞盈混合发起A,,,1.4512,1.4512,,,暂停申购,开放赎回,0.10%
560003,益民创新优势混合,,,1.4510,1.4710,,,开放申购,开放赎回,0.15%
001123,鹏华弘利混合C,,,1.4507,1.5315,,,限大额,开放赎回,0.15%
006719,国融融盛龙头严选混合C,,,1.4506,1.5006,,,开放申购,开放赎回,0.00%
009651,海富通成长甄选混合A,,,1.4505,1.4505,,,开放申购,开放赎回,0.15%
001122,鹏华弘利混合A,,,1.4503,1.5581,,,限大额,开放赎回,0.15%
233009,大摩多因子策略混合,,,1.45,2.8120,,,开放申购,开放赎回,0.15%
001430,中邮乐享收益灵活配置混合,,,1.45,1.51,,,开放申购,开放赎回,0.15%
003118,光大吉鑫混合C,,,1.45,1.4980,,,限大额,开放赎回,0.00%
531021,建信纯债债券C,,,1.4496,1.4496,,,开放申购,开放赎回,0.00%
000812,富国收益增强债券C,,,1.4490,1.6440,,,开放申购,开放赎回,0.00%
202108,南方润元纯债债券A/B,,,1.4489,1.4789,,,开放申购,开放赎回,0.08%
502013,长盛中证申万一带一路指数(LOF),,,1.4486,1.4486,,,开放申购,开放赎回,0.12%
005062,博时中证500指数增强A,,,1.4485,1.4485,,,开放申购,开放赎回,0.12%
001682,新华鑫回报混合,,,1.4482,1.5582,,,开放申购,开放赎回,0.15%
004560,汇安丰益混合A,,,1.4482,1.4482,,,开放申购,开放赎回,0.15%
002020,国都创新驱动,,,1.4480,1.4880,,,开放申购,开放赎回,0.15%
002616,中银益利混合A,,,1.4480,1.6140,,,开放申购,开放赎回,0.10%
011060,西部利得策略优选混合C,,,1.4480,1.4480,,,开放申购,开放赎回,0.00%
009853,中加优势企业混合A,,,1.4474,1.4474,,,开放申购,开放赎回,0.15%
001470,融通通鑫灵活配置混合,,,1.4470,1.5060,,,限大额,开放赎回,0.15%
007592,华夏价值精选混合,,,1.4469,1.4469,,,开放申购,开放赎回,0.15%
001495,东方新价值混合A,,,1.4468,1.4468,,,限大额,开放赎回,0.08%
001518,万家瑞兴,,,1.4464,2.0864,,,开放申购,开放赎回,0.15%
007411,浦银安盛中证高股息ETF联接C,,,1.4463,1.4463,,,开放申购,开放赎回,0.00%
003134,易方达裕鑫债券C,,,1.4462,1.4762,,,开放申购,开放赎回,0.00%
004946,汇添富盈润混合A,,,1.4461,1.4461,,,开放申购,开放赎回,0.12%
161232,国投瑞银瑞盛混合(LOF),,,1.4460,1.4460,,,开放申购,开放赎回,0.15%
004192,招商中证500指数A,,,1.4460,1.4460,,,开放申购,开放赎回,0.12%
004176,博时鑫泰混合C,,,1.4459,1.6542,,,限大额,开放赎回,0.08%
006130,华安中证500低波ETF联接C,,,1.4457,1.4457,,,开放申购,开放赎回,0.00%
004456,兴银消费新趋势灵活配置,,,1.4455,1.4455,,,开放申购,开放赎回,0.15%
009376,景顺长城成长领航混合,,,1.4454,1.4454,,,限大额,开放赎回,0.15%
003433,信诚至瑞灵活配置C,,,1.4453,1.5053,,,限大额,开放赎回,0.00%
008189,国泰中证钢铁ETF联接A,,,1.4452,1.6452,,,开放申购,开放赎回,0.10%
